Recipe: , Category: , Ingredient: , Measurement: , Ingredient: , Measurement: , Ingredient: , Measurement: , Favorite: , Prep: , Date: , Instructions:
Bacon Wraps , Appetizers , Cocktail sausages , 1 packages , Bacon , 1 pounds , Brown sugar , 1 Cups , No , 15 , 08/28/2012 , Cut slab of bacon into quarters. Wrap one piece of quartered bacon slice around each sausage weenie. Place on foil lined cookie sheet. Sprinkle brown sugar on top of each wrapped sausage. Bake at 400 degrees for 30-40 minutes
Rock N Roll Crackers , Appetizers , Ranch salad dressing seasoning mix , 1 Packages , Crushed red pepper , 1 1/2 Tablespoons , Garlic powder , 1 Teaspoons , Saltine crackers , 1 Packages , Canola oil , 1 1/2 Cups , No , 20 Minutes , 08/28/2012 ,   In a small bowl mix together salad seasoning mix, red pepper flakes, and garlic powder. Set aside. Place crackers in a large gallon sized sealable container, drizzle with canola oil. Add dry ingredients and seal container. Gently roll container to coat crackers with seasonings. Gently roll crackers every 30 minutes for 4 hours for best results 
Sausage Cheese Balls , Appetizers , Pan sausage , 1 Pounds , Bisquick , 2 Cups , Grated cheddar cheese , 8 Ounces , Yes , 15 Minutes , 08/28/2012 ,   Mix all ingredients well and form into walnut sized balls. Place on cookie sheet sprayed with Pam or non stick spray. Bake at 370 degrees for 15-20 minutes depending on the size of balls. Can be frozen and heated before serving 
Popeye's Biscuits , Breads , Bisquick , 4 Cups , 7-Up , 3/4 Cups , Sour cream , 8 Ounces , Butter stick , 1 Sticks , Yes , 5 Minutes , 08/28/2012 ,   Combine bisquick, 7-up, and sour cream. Stir until lumps are gone. Cut stick of butter in half. Melt 1/2 stick of butter in 9x13 or 9x9 pan. Drop biscuits by tablespoon into pan. Bake at 350 degrees for 10-12 minutes or until brown. Melt remainder of butter and baste the tops of each biscuit. Let stand for about 15 minutes and then serve 
Bull's-eyes , Breakfast , Bread , 1 Slices , Egg , 1 Number of  , Butter , 1 Teaspoons , Salt , 1 Pinch , Pepper , 1 Pinch , Yes , 5 Minutes , 08/28/2012 , Use the opening of a small glass or jar to cut the center out of a slice of bread. Keep the cut out center. Butter a skillet or pan. Using medium heat on the stove place the circle cut out and the bread slice onto the buttered pan. Crack the egg in the center of the bread, season with salt and pepper. Flip till egg is cooked and cut out toasted. Cut out is great for soaking up the runny yolk if not cooked through out
French Toast , Breakfast , Bread , 1 Slices , Egg , 3 Number of  , Butter , 1 Teaspoons , Milk , 1/2 Cups , Vanilla , 1 Teaspoons , Cinnamon , 1 1/2 Teaspoons , Sugar , 1 1/2 Teaspoons , No , 15 Minutes , 08/28/2012 , In a bowl mix the 4 eggs, 1/2 cup of milk, and the teaspoon of vanilla. Mix well and sprinkle in the cinnamon and sugar. Heat a large skillet on medium to high heat and melt butter in pan. Dredge a piece of bread through the mixture and place in pan. (repeat as desired) Brown both sides of bread. Sprinkle a little powder sugar if desired when served
Pinch Me Cake , Breakfast , Biscuits , 3 Packages , Cinnamon , 2 Teaspoons , Sugar , 3/4 Cups , Butter , 1 Sticks , Vanilla , 2 Teaspoons , Sugar , 1 Cups , Yes , 40 Minutes , 08/28/2012 , Pre heat oven at 350 degrees
Crawfish Etouffe , Dinner , Crawfish , 2 Pounds , Butter , 2 Sticks , Water , 1 Cups , Cayenne pepper , 1/4 Teaspoons , Bell pepper , 1 Number of , Celery , 1 Package , Yes , 25 Minutes , 08/28/2012 , Cook on low heat
Chicken & Sausage or Seafood Gumbo , Dinner , Olive oil , 1/2 Cups , Cayenne pepper , 1 Teaspoon , Water , 5 Cups , Onion , 1 Pounds , Fil'e , 1 Tablespoons , Celery , 1 Package , Yes , 45 Minutes , 08/28/2012 , Cook on low heat
Cajun Roast , Dinner , Roast Pork or Beef , 1 Number of , Cayenne pepper , 1 1/2 Tablespoons , Onion , 1 Number of , Yes , 45 Minutes , 08/28/2012 , Cook in cast iron pot
Eggplant Dressing , Appetizers , Lean ground meat , 1 1/2 Pounds , Cayenne pepper , 1/4 Teaspoons , Roux , 2 Tablespoons , No , 30 Minutes , 08/28/2012 , Cook on medium heat stirring frequently to prevent scorching
Armaretto Cake or Rum Cake , Dessert , Sugar , 1 Cups , Butter , 1 Stick , Water , 1/2 Cups , Yes , 15 Minutes , 08/28/2012 , Grease and flour a bundt pan
Bacardi Rum Cake , Dessert , Sugar , 1 Cups , Butter , 1 Stick , Water , 1/4 Cups , Yes , 15 Minutes , 08/28/2012 , Preheat oven at 325 degrees
Chocolate Chip Cookies , Dessert , Dark brown sugar , 1 Cups , Soft butter , 1 Cups , Water , 1/2 Teaspoons , No , 15 Minutes , 08/28/2012 , Preheat oven at 375 degrees
